,/lpc/w83627dhgp/voltage/0,/lpc/w83627dhgp/voltage/1,/lpc/w83627dhgp/voltage/2,/lpc/w83627dhgp/voltage/3,/lpc/w83627dhgp/voltage/4,/lpc/w83627dhgp/voltage/5,/lpc/w83627dhgp/voltage/6,/lpc/w83627dhgp/voltage/7,/lpc/w83627dhgp/temperature/0,/lpc/w83627dhgp/temperature/1,/lpc/w83627dhgp/temperature/2,/lpc/w83627dhgp/fan/1,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU VCore","Voltage #2","AVCC","3VCC","Voltage #5","Voltage #6","Voltage #7","3VSB","CPU","Auxiliary","System","CPU Fan","CPU Core #1","CPU Core #2","CPU Total","CPU Core #1","CPU Core #2","CPU Core #1","CPU Core #2","Bus Speed","Memory","Used Memory","Available Memory","Temperature","Used Space"
05/20/2022 21:55:20,1.24,0.944000065,3.328,3.344,1.672,1.74400008,1.89600015,3.47200012,40,46.5,35,2280.40552,70.3125,73.4375,71.875,47,45,2926.197,2926.197,266.0179,60.4447975,2.26495743,1.482193,40,64.6523743
05/20/2022 21:55:21,1.24,0.944000065,3.344,3.344,1.672,1.74400008,1.89600015,3.47200012,40,46.5,35,2280.40552,63.0769272,80,71.53846,45,45,2926.197,2926.197,266.0179,60.3116379,2.2599678,1.48718262,40,64.6523743
05/20/2022 21:55:22,1.24,0.944000065,3.344,3.344,1.672,1.74400008,1.89600015,3.47200012,40,46.5,35,2265.10059,33.8461533,75.38461,54.6153831,45,44,2926.197,2926.197,266.0179,60.9348755,2.28332138,1.463829,40,64.6523743
05/20/2022 21:55:23,1.24,0.944000065,3.344,3.344,1.672,1.74400008,1.89600015,3.47200012,40.5,46.5,35,2265.10059,58.4615364,89.23077,73.8461456,45,44,2926.197,2926.197,266.0179,61.28365,2.29639053,1.45075989,40,64.6523743
05/20/2022 21:55:24,1.256,0.952,3.344,3.344,1.672,1.74400008,1.89600015,3.47200012,40.5,46.5,35,2265.10059,65.625,57.8125,61.71875,42,40,2926.197,2926.197,266.0179,60.4430656,2.26489258,1.48225784,40,64.6523743
05/20/2022 21:55:25,1.256,0.952,3.344,3.344,1.68000007,1.74400008,1.904,3.47200012,40.5,46,35,2280.40552,12.5,17.1875,14.84375,40,38,2926.197,2926.197,266.0179,60.5520973,2.268978,1.4781723,40,64.6523743
05/20/2022 21:55:26,1.264,0.952,3.344,3.344,1.68000007,1.74400008,1.904,3.47200012,40.5,46,36,2280.40552,6.153846,3.076923,4.615384,39,37,2926.197,2926.197,266.0179,60.4702454,2.265911,1.48123932,40,64.6523743
05/20/2022 21:55:27,1.264,0.952,3.344,3.344,1.68000007,1.74400008,1.89600015,3.47200012,40.5,46,35,2280.40552,9.230768,15.3846149,12.3076916,39,37,2926.197,2926.197,266.0179,60.45406,2.26530457,1.48184586,40,64.6523743
05/20/2022 21:55:28,1.264,0.952,3.344,3.36000013,1.68000007,1.74400008,1.904,3.47200012,40.5,46,36,2295.91846,4.545456,4.545456,4.545456,39,36,2926.197,2926.197,266.0179,60.4464264,2.26501846,1.482132,40,64.6481247
05/20/2022 21:55:29,1.264,0.952,3.344,3.344,1.672,1.74400008,1.89600015,3.47200012,40.5,46,36,2295.91846,26.9841251,22.2222214,24.6031761,40,38,2926.197,2926.197,266.0179,60.42749,2.264309,1.48284149,40,64.6481247
05/20/2022 21:55:30,1.264,0.952,3.344,3.344,1.672,1.74400008,1.904,3.47200012,40.5,46,36,2295.91846,10.9375,10.9375,10.9375,39,37,2926.197,2926.197,266.0179,60.4611855,2.26557159,1.48157883,40,64.6481247
05/20/2022 21:55:31,1.264,0.944000065,3.344,3.344,1.68000007,1.74400008,1.89600015,3.47200012,40.5,46,36,2295.91846,4.6875,3.125,3.90625,39,37,2926.197,2926.197,266.0179,60.45345,2.26528168,1.48186874,40,64.6481247
05/20/2022 21:55:32,1.264,0.952,3.344,3.344,1.68000007,1.74400008,1.904,3.47200012,40.5,46,36,2295.91846,7.8125,7.8125,7.8125,39,37,2926.197,2926.197,266.0179,60.4509048,2.26518631,1.48196411,40,64.6481247
05/20/2022 21:55:33,1.264,0.952,3.344,3.344,1.68000007,1.74400008,1.904,3.47200012,40.5,46,36,2295.91846,7.8125,12.5,10.15625,39,37,2926.197,2926.197,266.0179,60.4465256,2.26502228,1.48212814,40,64.6481247
05/20/2022 21:55:34,1.264,0.952,3.344,3.344,1.68000007,1.74400008,1.904,3.47200012,40,46,36,2295.91846,21.53846,19.9999981,20.7692261,39,36,2926.197,2926.197,266.0179,60.380558,2.26255035,1.48460007,40,64.6481247
05/20/2022 21:55:35,1.264,0.952,3.344,3.344,1.68000007,1.74400008,1.904,3.47200012,40,46,36,2295.91846,1.5625,3.125,2.34375,39,36,2926.197,2926.197,266.0179,60.4039726,2.26342773,1.48372269,40,64.6481247
05/20/2022 21:55:36,1.264,0.952,3.344,3.344,1.68000007,1.74400008,1.904,3.47200012,40,46,36,2280.40552,6.153846,9.230768,7.69230747,39,37,2926.197,2926.197,266.0179,60.42291,2.26413727,1.48301315,40,64.6481247
05/20/2022 21:55:37,1.264,0.952,3.344,3.344,1.672,1.74400008,1.89600015,3.47200012,40,46,36,2280.40552,14.0625,9.375,11.71875,40,38,2926.197,2926.197,266.0179,60.410183,2.26366043,1.48349,40,64.6481247
05/20/2022 21:55:38,1.256,0.952,3.344,3.344,1.672,1.74400008,1.904,3.47200012,40,46,36,2280.40552,15.3846149,18.4615364,16.9230766,40,37,2926.197,2926.197,266.0179,60.39919,2.26324844,1.483902,40,64.6481247
05/20/2022 21:55:39,1.264,0.952,3.344,3.36000013,1.68000007,1.74400008,1.89600015,3.47200012,40,46,36,2280.40552,4.6875,3.125,3.90625,39,36,2926.197,2926.197,266.0179,60.1359253,2.25338364,1.49376678,40,64.6481247
05/20/2022 21:55:40,1.264,0.952,3.344,3.344,1.68000007,1.74400008,1.904,3.47200012,40,46,36,2280.40552,15.3846149,15.3846149,15.3846149,39,37,2926.197,2926.197,266.0179,60.334034,2.260807,1.48634338,40,64.6481247
05/20/2022 21:55:41,1.264,0.952,3.344,3.344,1.68000007,1.74400008,1.89600015,3.47200012,40,46,36,2280.40552,25,25,25,40,37,2926.197,2926.197,266.0179,60.5464973,2.26876831,1.47838211,40,64.6481247
05/20/2022 21:55:42,1.256,0.944000065,3.344,3.344,1.672,1.74400008,1.904,3.47200012,40,46,36,2295.91846,16.9230766,10.76923,13.8461533,39,37,2926.197,2926.197,266.0179,60.5857925,2.27024078,1.47690964,40,64.6481247
05/20/2022 21:55:43,1.256,0.944000065,3.344,3.36000013,1.68000007,1.74400008,1.904,3.47200012,40,46,36,2295.91846,9.375,9.375,9.375,39,37,2926.197,2926.197,266.0179,60.6524734,2.27273941,1.474411,40,64.6481247
05/20/2022 21:55:44,1.264,0.952,3.344,3.344,1.672,1.74400008,1.904,3.47200012,40,46,36,2295.91846,12.3076916,12.3076916,12.3076916,41,39,2926.197,2926.197,266.0179,60.61664,2.27139664,1.47575378,40,64.6481247
